ExtendedID,SubjectTag_S1,SubjectTag_S2,SubjectID_S1,SubjectID_S2,RelationshipPath,EverSharedHouse,R,RFull,MultipleBirthIfSameSex,IsMz,LastSurvey_S1,LastSurvey_S2,RImplicitPass1,RImplicit,RExplicit,RExplicitPass1,RPass1,RExplicitOlderSibVersion,RExplicitYoungerSibVersion,RImplicitSubject,RImplicitMother
16,1600,1602,16,1602,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
16,1600,1603,16,1603,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
16,1601,1602,1601,1602,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
16,1601,1603,1601,1603,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
16,1602,1603,1602,1603,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
17,1700,1800,17,18,1,TRUE,0.5,0.5,0,0,2014,2014,NA,NA,NA,NA,0.5,NA,NA,NA,NA
19,1900,1901,19,1901,4,TRUE,0.5,0.5,0,0,2010,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
20,2000,2001,20,2001,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
20,2000,2100,20,21,1,TRUE,0.5,0.5,0,0,2014,2014,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
20,2001,2100,2001,21,5,FALSE,0.25,0.25,0,0,2014,2014,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
23,2300,2400,23,24,1,TRUE,0.5,0.5,0,0,1992,1998,NA,0.5,NA,NA,NA,NA,NA,NA,NA
25,2500,2501,25,2501,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
25,2500,2502,25,2502,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
25,2501,2502,2501,2502,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
27,2700,2701,27,2701,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
27,2700,2702,27,2702,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
