ID,Label,Active,Notes
1,97-demographics,TRUE,
2,97-roster,TRUE,
3,97-survey-time,TRUE,
4,97-links-explicit,TRUE,
5,97-links-implicit,TRUE,
6,97-twins,TRUE,
